
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-03-09;21.373,81;5491563867857;24.244,71;4505365314649;23.466,42;6330395269094;43.621,19;856592131659;21.301,96;8275644151747
2010-03-10;21.416,55;5502122728414;24.267,02;4509808823234;23.497,90;6339699820507;43.683,51;857723031330;21.333,22;8286167963994
2010-03-11;21.484,85;5517958639834;24.332,11;4521879932449;23.577,36;6360862784393;43.789,33;859924605160;21.397,55;8311316811081
2010-03-12;21.543,14;5532447348631;24.394,03;4532455018545;23.648,36;6382156857932;43.878,53;861559884921;21.455,87;8337064126094
2010-03-13;21.543,14;5532447348631;24.394,03;4532455018545;23.648,36;6382156857932;43.878,53;861559884921;21.455,87;8337064126094
2010-03-14;21.543,14;5532447348631;24.394,03;4532455018545;23.648,36;6382156857932;43.878,53;861559884921;21.455,87;8337064126094
2010-03-15;21.513,81;5531355056757;24.358,26;4532728997994;23.631,08;6385503627208;43.855,95;858606899463;21.427,51;8336000387970
2010-03-16;21.460,01;5519289544391;24.294,05;4522286698260;23.564,81;6370609382273;43.761,88;858421633505;21.376,96;8316422702664
2010-03-17;21.559,41;5546418833003;24.405,46;4544511778643;23.687,39;6407112133185;43.925,81;862248064345;21.477,80;8358291708417
2010-03-18;21.684,40;5580477597300;24.560,58;4574755545723;23.829,44;6443660285501;44.148,99;866981796534;21.606,07;8411453496260
2010-03-19;21.653,29;5572877146169;24.517,60;4568496920565;23.783,77;6431471431449;44.092,91;865968717880;21.574,28;8400188477486
2010-03-20;21.653,29;5572877146169;24.517,60;4568496920565;23.783,77;6431471431449;44.092,91;865968717880;21.574,28;8400188477486
2010-03-21;21.653,29;5572877146169;24.517,60;4568496920565;23.783,77;6431471431449;44.092,91;865968717880;21.574,28;8400188477486
