
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-04-14;22.379,36;457962369690;23.817,75;422875815484;21.074,54;591209199666;38.167,80;52977639064;22.015,30;504187478781
2010-04-15;22.384,98;456799632829;23.834,80;421813039637;21.056,60;588613130026;38.159,43;52515365156;22.039,95;502752314056
2010-04-16;22.415,23;456879480618;23.849,79;422084691831;21.082,70;587631354320;38.176,65;52670249707;22.066,87;502745108562
2010-04-17;22.415,23;456879480618;23.849,79;422084691831;21.082,70;587631354320;38.176,65;52670249707;22.066,87;502745108562
2010-04-18;22.415,23;456879480618;23.849,79;422084691831;21.082,70;587631354320;38.176,65;52670249707;22.066,87;502745108562
2010-04-19;22.413,59;456563288722;23.841,06;420342230122;21.069,81;586772461683;38.189,74;52390254230;22.052,37;502730006178
2010-04-20;22.425,69;455911523425;23.852,40;418945763041;21.072,59;584082025562;38.209,70;52396991610;22.058,50;501562225615
2010-04-21;22.447,29;454969398487;23.901,89;418857809762;21.085,95;582045134445;38.243,66;52337826553;22.079,45;500950866150
2010-04-22;22.449,46;454984798802;23.898,22;418183139261;21.105,15;581891832503;38.241,54;52255294833;22.097,34;501065533867
2010-04-23;22.448,88;454525429132;23.900,10;417360192697;21.106,12;580547331402;38.254,15;52244464989;22.098,80;500872004432
2010-04-24;22.448,88;454525429132;23.900,10;417360192697;21.106,12;580547331402;38.254,15;52244464989;22.098,80;500872004432
2010-04-25;22.448,88;454525429132;23.900,10;417360192697;21.106,12;580547331402;38.254,15;52244464989;22.098,80;500872004432
2010-04-26;22.464,59;454019231608;23.915,84;416955323109;21.106,42;578789716406;38.272,43;51901685489;22.108,64;500576158935
2010-04-27;22.464,04;452988588816;23.902,76;415399254807;21.100,72;576950529144;38.255,79;51757063824;22.104,76;500286133589
2010-04-28;22.458,18;452521312453;23.913,17;415898318556;21.074,93;575298005355;38.299,37;51749523713;22.090,74;501394368592
2010-04-29;22.487,92;451436499844;23.937,49;415561058006;21.108,85;575041393243;38.317,80;51730241926;22.128,57;501570812144
2010-04-30;22.509,77;451597195854;23.939,45;414625351726;21.145,81;576015942926;38.346,49;51706541529;22.136,58;501191494800
2010-05-01;22.509,77;451597195854;23.939,45;414625351726;21.145,81;576015942926;38.346,49;51706541529;22.136,58;501191494800
2010-05-02;22.509,77;451597195854;23.939,45;414625351726;21.145,81;576015942926;38.346,49;51706541529;22.136,58;501191494800
2010-05-03;22.497,79;450394761364;23.922,77;416105598727;21.139,03;575461081294;38.329,31;51130176278;22.117,91;499325514597
2010-05-04;22.515,72;451906952049;23.944,36;419002636772;21.142,97;577021410906;38.341,31;51109548873;22.115,08;499284418510
2010-05-05;22.509,78;451468821733;23.939,97;419809331185;21.139,92;577789833650;38.340,61;51097672189;22.119,45;498499834081
2010-05-06;22.502,87;451088497775;23.952,19;420757794620;21.149,31;578576320313;38.351,25;51110882987;22.120,98;498798728461
2010-05-07;22.504,37;451336176690;23.938,66;419765977921;21.147,75;577230354497;38.357,46;50809930390;22.112,00;497214448085
2010-05-08;22.504,37;451336176690;23.938,66;419765977921;21.147,75;577230354497;38.357,46;50809930390;22.112,00;497214448085
2010-05-09;22.504,37;451336176690;23.938,66;419765977921;21.147,75;577230354497;38.357,46;50809930390;22.112,00;497214448085
2010-05-10;22.510,11;452661676506;23.958,22;421632217533;21.153,18;579785562823;38.415,51;50848940485;22.117,69;497580326332
2010-05-11;22.548,49;456471934627;24.001,25;427389479752;21.181,93;590288635553;38.417,98;50798299044;22.136,89;502469628621
2010-05-12;22.575,44;464827699311;24.030,52;440859855548;21.196,16;605802682835;38.461,02;50869284401;22.170,09;509156507164
2010-05-13;22.604,12;479781975847;24.062,43;462497900261;21.218,82;630127253290;38.487,97;51102771572;22.190,65;520131315568
2010-05-14;22.607,27;481479401857;24.061,53;477330798659;21.220,79;632841697434;38.500,19;51478609882;22.185,13;525509092347
