
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-02-22;23.139,57;3144865547750;23.404,73;3142190384844;23.599,45;2946885677358;22.275,60;260219881102;23.912,04;3440515737961
2010-02-23;23.137,21;3145081354369;23.439,53;3147813763624;23.598,16;2947481704726;22.307,45;260835267887;23.940,80;3445460551920
2010-02-24;22.967,33;3122426367871;23.283,76;3127426616162;23.397,15;2922975793684;22.152,14;258990058197;23.761,41;3419803134756
2010-02-25;22.965,30;3123134862131;23.254,95;3124732117463;23.435,88;2929491749145;22.137,94;258929116216;23.760,51;3420888411116
2010-02-26;22.798,45;3096649347091;23.086,57;3098450616527;23.244,69;2900529640464;21.989,00;256909801110;23.590,51;3397635938802
2010-02-27;22.798,45;3096649347091;23.086,57;3098450616527;23.244,69;2900529640464;21.989,00;256909801110;23.590,51;3397635938802
2010-02-28;22.798,45;3096649347091;23.086,57;3098450616527;23.244,69;2900529640464;21.989,00;256909801110;23.590,51;3397635938802
2010-03-01;22.923,71;3109747469798;23.225,63;3118470754476;23.404,17;2923625570954;22.125,75;254833206715;23.732,35;3425890387534
2010-03-02;23.014,36;3123203085939;23.319,71;3131505505325;23.516,07;2938168439350;22.221,82;256012406333;23.829,10;3435182963629
2010-03-03;23.133,40;3139550306086;23.462,94;3150553050659;23.665,46;2954686413985;22.366,48;261581534245;23.970,75;3455806192666
2010-03-04;23.087,34;3133264705813;23.457,31;3149633482673;23.640,62;2952003545205;22.375,16;261734643805;23.946,73;3452804710321
2010-03-05;23.035,62;3125184890272;23.402,75;3138763245024;23.571,59;2941812580732;22.333,63;261264246409;23.885,59;3442065324620
2010-03-06;23.035,62;3125184890272;23.402,75;3138763245024;23.571,59;2941812580732;22.333,63;261264246409;23.885,59;3442065324620
2010-03-07;23.035,62;3125184890272;23.402,75;3138763245024;23.571,59;2941812580732;22.333,63;261264246409;23.885,59;3442065324620
2010-03-08;23.177,12;3142895302945;23.554,05;3156966594898;23.751,89;2962795859408;22.480,67;262964643533;24.049,24;3463501993088
2010-03-09;23.260,96;3151989704202;23.666,62;3170951797429;23.825,49;2971502299035;22.578,56;264097337706;24.150,74;3476985172523
2010-03-10;23.367,69;3167567330987;23.724,31;3178007195467;23.932,39;2985491429803;22.653,15;264712748791;24.238,86;3489600723292
2010-03-11;23.531,10;3190183876837;23.889,93;3201232532245;24.088,22;3005304904531;22.793,49;266396984422;24.405,06;3513818805250
2010-03-12;23.669,90;3210385894280;23.996,76;3218319797955;24.213,84;3024877374410;22.890,58;267615662835;24.528,82;3530592115989
2010-03-13;23.669,90;3210385894280;23.996,76;3218319797955;24.213,84;3024877374410;22.890,58;267615662835;24.528,82;3530592115989
2010-03-14;23.669,90;3210385894280;23.996,76;3218319797955;24.213,84;3024877374410;22.890,58;267615662835;24.528,82;3530592115989
2010-03-15;23.601,84;3210814730103;23.961,12;3221366097783;24.171,61;3031370380013;22.862,73;263875859726;24.483,52;3533951423518
2010-03-16;23.480,86;3196335412789;23.825,98;3205822310019;24.036,90;3017314654287;22.744,90;267058442888;24.350,86;3515498079506
