
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-11-15;23.406,91;2839384107166;24.129,05;2530528518478;24.125,92;3704659980513;23.403,60;155255204386;23.911,17;321908509729;23.286,84;3594735745844
2012-11-16;23.352,79;2832128326956;24.069,20;2523510165386;24.068,56;3695592675967;23.346,42;154983029788;23.857,74;324449542277;23.233,16;3586852318448
2012-11-17;23.352,79;2832128326956;24.069,20;2523510165386;24.068,56;3695592675967;23.346,42;154983029788;23.857,74;324449542277;23.233,16;3586852318448
2012-11-18;23.352,79;2832128326956;24.069,20;2523510165386;24.068,56;3695592675967;23.346,42;154983029788;23.857,74;324449542277;23.233,16;3586852318448
2012-11-19;23.381,86;2835472124385;24.097,39;2525474149972;24.093,67;3698717742732;23.372,32;155253108660;23.882,17;324784839106;23.259,75;3590537653011
2012-11-20;23.443,82;2842438436132;24.152,70;2529789964318;24.144,51;3704355771259;23.442,23;155720286935;23.935,02;325505520526;23.323,05;3599748697760
2012-11-21;23.428,42;2837284292316;24.136,14;2520819517351;24.133,92;3694478763965;23.422,79;155452902091;23.917,81;325089895958;23.303,59;3593613438140
2012-11-22;23.396,99;2830232295550;24.110,76;2511268549446;24.104,40;3682786813727;23.396,76;155214284410;23.892,95;324596049711;23.274,76;3587136812247
2012-11-23;23.390,41;2826666771885;24.104,77;2505351719420;24.097,38;3677242004355;23.393,18;155234536640;23.884,72;324441012774;23.265,07;3583628962661
2012-11-24;23.390,41;2826666771885;24.104,77;2505351719420;24.097,38;3677242004355;23.393,18;155234536640;23.884,72;324441012774;23.265,07;3583628962661
2012-11-25;23.390,41;2826666771885;24.104,77;2505351719420;24.097,38;3677242004355;23.393,18;155234536640;23.884,72;324441012774;23.265,07;3583628962661
2012-11-26;23.515,48;2840055188585;24.236,30;2515824725583;24.222,81;3691307376584;23.508,18;155996472443;24.003,97;326038522252;23.394,15;3602310649711
